Page_Number,Type,Price,Price_Per_M2,Surface_m2,Rooms,Bedrooms,Floor,Address,City,PostalCode,Department,Energy_Class,Is_New,Agency,URL,Confidence_Score
66,Appartement,443 000 €, 8 686 €/m²,51 m²,2 pièce(s),1 chambre(s),2,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/amiraux-simplon-poissonniers/254122671.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,123 600 €, 6 867 €/m²,18 m²,1 pièce(s),N/A,1,Paris 19ème (75019),Paris 19ème,75019,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/251195461.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,529 000 €, 10 796 €/m²,49 m²,3 pièce(s),1 chambre(s),3,"Buttes Chaumont, Paris 19ème (75019)",Paris 19ème,75019,75,F,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/253568147.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,1 200 000 €, 9 231 €/m²,130 m²,4 pièce(s),3 chambre(s),4,"Buttes Chaumont, Paris 19ème (75019)",Paris 19ème,75019,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/253119273.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,108 000 €, 12 000 €/m²,9 m²,1 pièce(s),N/A,1,"Père Lachaise-Réunion, Paris 20ème (75020)",Paris 20ème,75020,75,F,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/pere-lachaise-reunion/253110173.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,475 000 €, 5 398 €/m²,88 m²,4 pièce(s),3 chambre(s),4,Paris 19ème (75019),Paris 19ème,75019,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/253107913.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,415 000 €, 10 921 €/m²,38 m²,1 pièce(s),N/A,1,"Grandes Carrières-Clichy, Paris 18ème (75018)",Paris 18ème,75018,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/249510717.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,495 000 €, 13 378 €/m²,37 m²,2 pièce(s),1 chambre(s),2,"Montmartre, Paris 18ème (75018)",Paris 18ème,75018,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/montmartre/248694035.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,253 000 €, 6 838 €/m²,37 m²,2 pièce(s),1 chambre(s),2,"Pont de Flandre, Paris 19ème (75019)",Paris 19ème,75019,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/pont-de-flandre/248396351.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,1 170 000 €, 13 000 €/m²,90 m²,3 pièce(s),2 chambre(s),3,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",Paris 20ème,75020,75,C,Non,N/A,https://www.bellesdemeures.com/251213295/detail.htm,10
